interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
461	RLM1	BCK1	YPL089C	YJL095W	8.297301
462	SSK1	SLN1	YLR006C	YIL147C	8.27444
463	BCY1	MRK1	YIL033C	YDL079C	8.26588
464	NUD1	CDC5	YOR373W	YMR001C	8.25293
465	ELM1	CDC28	YKL048C	YBR160W	8.230019
466	CDC3	CDC28	YLR314C	YBR160W	8.22147
467	NDD1	RAD53	YOR372C	YPL153C	8.1765
468	PMA1	PTK2	YGL008C	YJR059W	8.17311
469	STB3	SCH9	YDR169C	YHR205W	8.1689
470	RAD9	MEC1	YDR217C	YBR136W	8.16882
471	STE7	KSS1	YDL159W	YGR040W	8.143241
472	TFB3	KIN28	YDR460W	YDL108W	8.12321
473	ATG18	ATG1	YFR021W	YGL180W	8.08852
474	SIP4	SSN3	YJL089W	YPL042C	8.08199
475	MIG1	PKC1	YGL035C	YBL105C	8.081521
