oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBR049C	YER105C	transcription factor-target down	td
YBR049C	YER111C	transcription factor-target down	td
YBR049C	YER136W	transcription factor-target down	td
YBR049C	YER146W	transcription factor-target down	td
YBR049C	YER150W	transcription factor-target down	td
YBR049C	YER156C	transcription factor-target down	td
YBR049C	YER157W	transcription factor-target down	td
YBR049C	YER163C	transcription factor-target down	td
YBR049C	YER176W	transcription factor-target down	td
YBR049C	YFL005W	transcription factor-target down	td
YBR049C	YFL013C	transcription factor-target down	td
YBR049C	YFL016C	transcription factor-target down	td
YBR049C	YFL022C	transcription factor-target down	td
YBR049C	YFL023W	transcription factor-target down	td
YBR049C	YFL024C	transcription factor-target down	td
YBR049C	YFL026W	transcription factor-target down	td
YBR049C	YFL039C	transcription factor-target down	td
YBR049C	YFR051C	transcription factor-target down	td
YBR049C	YFR052W	transcription factor-target down	td
YBR049C	YGL043W	transcription factor-target down	td
YBR049C	YGL044C	transcription factor-target down	td
YBR049C	YGL068W	transcription factor-target down	td
YBR049C	YGL086W	transcription factor-target down	td
YBR049C	YGL087C	transcription factor-target down	td
YBR049C	YGL088W	transcription factor-target down	td
YBR049C	YGL089C	transcription factor-target down	td
YBR049C	YGL097W	transcription factor-target down	td
YBR049C	YGL106W	transcription factor-target down	td
YBR049C	YGL119W	transcription factor-target down	td
YBR049C	YGL120C	transcription factor-target down	td
YBR049C	YGL137W	transcription factor-target down	td
YBR049C	YGL138C	transcription factor-target down	td
YBR049C	YGL140C	transcription factor-target down	td
YBR049C	YGL151W	transcription factor-target down	td
YBR049C	YGL152C	transcription factor-target down	td
YBR049C	YGL166W	transcription factor-target down	td
YBR049C	YGL181W	transcription factor-target down	td
YBR049C	YGL182C	transcription factor-target down	td
YBR049C	YGL198W	transcription factor-target down	td
YBR049C	YGL225W	transcription factor-target down	td
YBR049C	YGL237C	transcription factor-target down	td
YBR049C	YGL238W	transcription factor-target down	td
YBR049C	YGR002C	transcription factor-target down	td
YBR049C	YGR003W	transcription factor-target down	td
YBR049C	YGR009C	transcription factor-target down	td
YBR049C	YGR024C	transcription factor-target down	td
YBR049C	YGR026W	transcription factor-target down	td
YBR049C	YGR037C	transcription factor-target down	td
YBR049C	YGR043C	transcription factor-target down	td
YBR049C	YGR045C	transcription factor-target down	td
YBR049C	YGR046W	transcription factor-target down	td
YBR049C	YGR078C	transcription factor-target down	td
YBR049C	YGR084C	transcription factor-target down	td
YBR049C	YGR130C	transcription factor-target down	td
YBR049C	YGR132C	transcription factor-target down	td
YBR049C	YGR135W	transcription factor-target down	td
YBR049C	YGR145W	transcription factor-target down	td
YBR049C	YGR147C	transcription factor-target down	td
YBR049C	YGR156W	transcription factor-target down	td
YBR049C	YGR172C	transcription factor-target down	td
YBR049C	YGR173W	transcription factor-target down	td
YBR049C	YGR184C	transcription factor-target down	td
YBR049C	YGR195W	transcription factor-target down	td
YBR049C	YGR199W	transcription factor-target down	td
YBR049C	YGR203W	transcription factor-target down	td
YBR049C	YGR218W	transcription factor-target down	td
YBR049C	YGR220C	transcription factor-target down	td
YBR049C	YGR231C	transcription factor-target down	td
YBR049C	YGR232W	transcription factor-target down	td
YBR049C	YGR241C	transcription factor-target down	td
YBR049C	YGR243W	transcription factor-target down	td
YBR049C	YGR266W	transcription factor-target down	td
YBR049C	YGR284C	transcription factor-target down	td
YBR049C	YGR285C	transcription factor-target down	td
YBR049C	YGR288W	transcription factor-target down	td
YBR049C	YHL031C	transcription factor-target down	td
YBR049C	YHR006W	transcription factor-target down	td
YBR049C	YHR015W	transcription factor-target down	td
YBR049C	YHR023W	transcription factor-target down	td
YBR049C	YHR026W	transcription factor-target down	td
YBR049C	YHR039C-A	transcription factor-target down	td
YBR049C	YHR040W	transcription factor-target down	td
YBR049C	YHR075C	transcription factor-target down	td
YBR049C	YHR097C	transcription factor-target down	td
YBR049C	YHR136C	transcription factor-target down	td
YBR049C	YHR146W	transcription factor-target down	td
YBR049C	YHR153C	transcription factor-target down	td
YBR049C	YHR154W	transcription factor-target down	td
YBR049C	YIL022W	transcription factor-target down	td
YBR049C	YIL023C	transcription factor-target down	td
YBR049C	YIL062C	transcription factor-target down	td
YBR049C	YIL075C	transcription factor-target down	td
YBR049C	YIL105C	transcription factor-target down	td
YBR049C	YIL106W	transcription factor-target down	td
YBR049C	YIL108W	transcription factor-target down	td
YBR049C	YIL109C	transcription factor-target down	td
YBR049C	YIL112W	transcription factor-target down	td
YBR049C	YIL116W	transcription factor-target down	td
YBR049C	YIL121W	transcription factor-target down	td
YBR049C	YIL122W	transcription factor-target down	td
